pair,gc,condition,trial,trial_collapsed,piece
1,0.0093933,1,1,1,1
2,0.009160292,1,1,1,1
3,0.008034978,1,1,1,1
4,0.011879676,1,1,1,1
5,0.00812185,1,1,1,1
6,0.009854801,1,1,1,1
7,0.009415967,1,1,1,1
8,0.006352651,1,1,1,1
9,0.007521718,1,1,1,1
10,0.006605629,1,1,1,1
11,0.003902333,1,1,1,1
12,0.007213825,1,1,1,1
1,0.005593986,2,2,1,1
2,0.003933594,2,2,1,1
3,0.00996058,2,2,1,1
4,0.005973046,2,2,1,1
5,0.008310592,2,2,1,1
6,0.008301327,2,2,1,1
7,0.007251751,2,2,1,1
8,0.00178368,2,2,1,1
9,0.006922862,2,2,1,1
10,0.005401668,2,2,1,1
11,0.006487916,2,2,1,1
12,0.00937197,2,2,1,1
1,0.007225247,1,3,2,1
2,0.01744479,1,3,2,1
3,0.012370785,1,3,2,1
4,0.007658495,1,3,2,1
5,0.005851493,1,3,2,1
6,0.006030603,1,3,2,1
7,0.008840409,1,3,2,1
8,0.008614182,1,3,2,1
9,0.008541123,1,3,2,1
10,0.003998872,1,3,2,1
11,0.007789636,1,3,2,1
12,0.005871825,1,3,2,1
1,0.007518155,2,4,2,1
2,0.006650438,2,4,2,1
3,0.009995429,2,4,2,1
4,0.013303747,2,4,2,1
5,0.004895971,2,4,2,1
6,0.007262547,2,4,2,1
7,0.01104881,2,4,2,1
8,0.00166402,2,4,2,1
9,0.009497549,2,4,2,1
10,0.009334245,2,4,2,1
11,0.007748356,2,4,2,1
12,0.006993511,2,4,2,1
1,0.002190219,1,5,3,1
2,0.010946574,1,5,3,1
3,0.005118106,1,5,3,1
4,0.008594808,1,5,3,1
5,0.004957413,1,5,3,1
6,0.00615561,1,5,3,1
7,0.008129173,1,5,3,1
8,0.00761283,1,5,3,1
9,0.005667792,1,5,3,1
10,0.013378856,1,5,3,1
11,0.014545711,1,5,3,1
12,0.006592889,1,5,3,1
1,0.002392874,2,6,3,1
2,0.007683615,2,6,3,1
3,0.009400438,2,6,3,1
4,0.01175594,2,6,3,1
5,0.003749979,2,6,3,1
6,0.011045958,2,6,3,1
7,0.006567575,2,6,3,1
8,0.00699688,2,6,3,1
9,0.00993624,2,6,3,1
10,0.019236343,2,6,3,1
11,0.00992211,2,6,3,1
12,0.006638115,2,6,3,1
1,0.001919731,1,7,4,1
2,0.007162078,1,7,4,1
3,0.003300115,1,7,4,1
4,0.010535936,1,7,4,1
5,0.005431264,1,7,4,1
6,0.0026663,1,7,4,1
7,0.003024654,1,7,4,1
8,0.003583796,1,7,4,1
9,0.004296874,1,7,4,1
10,0.013282285,1,7,4,1
11,0.003537093,1,7,4,1
12,0.011614084,1,7,4,1
1,0.001562311,2,8,4,1
2,0.004057719,2,8,4,1
3,0.002206752,2,8,4,1
4,0.002966823,2,8,4,1
5,0.007663687,2,8,4,1
6,0.002298365,2,8,4,1
7,0.0056941,2,8,4,1
8,0.005205154,2,8,4,1
9,0.002841036,2,8,4,1
10,0.009523822,2,8,4,1
11,0.006038865,2,8,4,1
12,0.004827497,2,8,4,1
1,0.017143587,2,1,1,2
2,0.013690696,2,1,1,2
3,0.014504756,2,1,1,2
4,0.00841384,2,1,1,2
5,0.005306286,2,1,1,2
6,0.01612507,2,1,1,2
7,0.019364587,2,1,1,2
8,0.005701306,2,1,1,2
9,0.023735141,2,1,1,2
10,0.016835685,2,1,1,2
11,0.019283512,2,1,1,2
12,0.009340305,2,1,1,2
1,0.019080482,1,2,1,2
2,0.019478729,1,2,1,2
3,0.009670475,1,2,1,2
4,0.011798334,1,2,1,2
5,0.013647823,1,2,1,2
6,0.009799551,1,2,1,2
7,0.02161809,1,2,1,2
8,0.006086823,1,2,1,2
9,0.018560256,1,2,1,2
10,0.01157739,1,2,1,2
11,0.027602907,1,2,1,2
12,0.016272091,1,2,1,2
1,0.005879493,2,3,2,2
2,0.016135113,2,3,2,2
3,0.024420717,2,3,2,2
4,0.008904208,2,3,2,2
5,0.003244115,2,3,2,2
6,0.004498037,2,3,2,2
7,0.011161569,2,3,2,2
8,0.008776494,2,3,2,2
9,0.012459769,2,3,2,2
10,0.022711965,2,3,2,2
11,0.018257865,2,3,2,2
12,0.00423231,2,3,2,2
1,0.011198653,1,4,2,2
2,0.015076889,1,4,2,2
3,0.014492094,1,4,2,2
4,0.006918981,1,4,2,2
5,0.005632472,1,4,2,2
6,0.001360434,1,4,2,2
7,0.019185851,1,4,2,2
8,0.003374379,1,4,2,2
9,0.009577828,1,4,2,2
10,0.019939061,1,4,2,2
11,0.008926787,1,4,2,2
12,0.012207892,1,4,2,2
1,0.011133083,2,5,3,2
2,0.018295594,2,5,3,2
3,0.021496385,2,5,3,2
4,0.010237284,2,5,3,2
5,0.004928368,2,5,3,2
6,0.004553857,2,5,3,2
7,0.017135579,2,5,3,2
8,0.004362624,2,5,3,2
9,0.009391744,2,5,3,2
10,0.011550813,2,5,3,2
11,0.021860398,2,5,3,2
12,0.019061385,2,5,3,2
1,0.00786165,1,6,3,2
2,0.014879549,1,6,3,2
3,0.013125423,1,6,3,2
4,0.006725979,1,6,3,2
5,0.007691064,1,6,3,2
6,0.006828932,1,6,3,2
7,0.015674825,1,6,3,2
8,0.007023981,1,6,3,2
9,0.014187559,1,6,3,2
10,0.012646461,1,6,3,2
11,0.009098321,1,6,3,2
12,0.010582389,1,6,3,2
1,0.009688196,2,7,4,2
2,0.007179154,2,7,4,2
3,0.030521929,2,7,4,2
4,0.005290447,2,7,4,2
5,0.007958426,2,7,4,2
6,0.005017662,2,7,4,2
7,0.011463132,2,7,4,2
8,0.007292281,2,7,4,2
9,0.014374395,2,7,4,2
10,0.016863994,2,7,4,2
11,0.01481103,2,7,4,2
12,0.012861092,2,7,4,2
1,0.011489828,1,8,4,2
2,0.008992127,1,8,4,2
3,0.014624478,1,8,4,2
4,0.006625629,1,8,4,2
5,0.006547121,1,8,4,2
6,0.010360076,1,8,4,2
7,0.012067748,1,8,4,2
8,0.006148998,1,8,4,2
9,0.003987488,1,8,4,2
10,0.021176456,1,8,4,2
11,0.005415634,1,8,4,2
12,0.00454071,1,8,4,2