data,trial,piece,gc,wcc,quality,express,synch
1,1,1,0.008121418,0.936308005,3.75,3.75,4.5
2,2,1,0.006607748,0.946046829,5.5,5.75,6
3,3,1,0.008353122,0.940995169,6,5.5,6.75
4,4,1,0.007992732,0.945882834,6.25,7.25,6.25
5,5,1,0.007824165,0.94899266,6,5.75,5.75
6,6,1,0.008777172,0.956173111,7,7.75,7
7,7,1,0.005862851,0.951272635,6.5,6,6.75
8,8,1,0.004573844,0.947774292,6.5,7,7
9,1,2,0.014120398,0.920868384,2.5,3.75,2
10,2,2,0.015432746,0.931264167,4.75,5,4.5
11,3,2,0.011723471,0.934909164,5.75,6,5.5
12,4,2,0.01065761,0.940456304,6,5.75,5.75
13,5,2,0.012833926,0.944213035,6.75,6.75,6
14,6,2,0.010527178,0.936697645,6.25,6,6
15,7,2,0.011943478,0.948300226,6.75,7.75,6.75
16,8,2,0.009331358,0.937768502,6.5,5.75,6.25