pair,pair_names,wcc,condition,trial,trial_collapsed,piece
1,cello-viola,0.828970715,1,1,1,1
2,cello-v1,0.916828622,1,1,1,1
3,cello-v2,0.866263226,1,1,1,1
4,viola-v1,0.908598883,1,1,1,1
5,viola-v2,0.852739509,1,1,1,1
6,v1-v2,0.934297713,1,1,1,1
1,cello-viola,0.872182433,2,2,1,1
2,cello-v1,0.90132586,2,2,1,1
3,cello-v2,0.806309599,2,2,1,1
4,viola-v1,0.850844475,2,2,1,1
5,viola-v2,0.813602635,2,2,1,1
6,v1-v2,0.838547182,2,2,1,1
1,cello-viola,0.876551499,1,3,2,1
2,cello-v1,0.869128628,1,3,2,1
3,cello-v2,0.875456972,1,3,2,1
4,viola-v1,0.857174201,1,3,2,1
5,viola-v2,0.875396976,1,3,2,1
6,v1-v2,0.869461915,1,3,2,1
1,cello-viola,0.975699835,2,4,2,1
2,cello-v1,0.788369886,2,4,2,1
3,cello-v2,0.892299682,2,4,2,1
4,viola-v1,0.95582592,2,4,2,1
5,viola-v2,0.928573217,2,4,2,1
6,v1-v2,0.895699834,2,4,2,1
1,cello-viola,0.884614565,1,5,3,1
2,cello-v1,0.941998921,1,5,3,1
3,cello-v2,0.897535419,1,5,3,1
4,viola-v1,0.833928672,1,5,3,1
5,viola-v2,0.744274131,1,5,3,1
6,v1-v2,0.747480286,1,5,3,1
1,cello-viola,0.84419837,2,6,3,1
2,cello-v1,0.842460947,2,6,3,1
3,cello-v2,0.858584429,2,6,3,1
4,viola-v1,0.933174382,2,6,3,1
5,viola-v2,0.831761061,2,6,3,1
6,v1-v2,0.772114794,2,6,3,1
1,cello-viola,0.839397931,1,7,4,1
2,cello-v1,0.789834627,1,7,4,1
3,cello-v2,0.83596701,1,7,4,1
4,viola-v1,0.821641652,1,7,4,1
5,viola-v2,0.852030628,1,7,4,1
6,v1-v2,0.860994288,1,7,4,1
1,cello-viola,0.908785807,2,8,4,1
2,cello-v1,0.819684009,2,8,4,1
3,cello-v2,0.833237328,2,8,4,1
4,viola-v1,0.882962095,2,8,4,1
5,viola-v2,0.923638871,2,8,4,1
6,v1-v2,0.880704425,2,8,4,1
1,cello-viola,0.921059986,2,1,1,2
2,cello-v1,0.894005113,2,1,1,2
3,cello-v2,0.95575432,2,1,1,2
4,viola-v1,0.891679689,2,1,1,2
5,viola-v2,0.951645348,2,1,1,2
6,v1-v2,0.911065849,2,1,1,2
1,cello-viola,0.921602982,1,2,1,2
2,cello-v1,0.928688267,1,2,1,2
3,cello-v2,0.942958944,1,2,1,2
4,viola-v1,0.928357194,1,2,1,2
5,viola-v2,0.941595107,1,2,1,2
6,v1-v2,0.92438251,1,2,1,2
1,cello-viola,0.921632471,2,3,2,2
2,cello-v1,0.917243062,2,3,2,2
3,cello-v2,0.951022911,2,3,2,2
4,viola-v1,0.934752104,2,3,2,2
5,viola-v2,0.951180914,2,3,2,2
6,v1-v2,0.933623519,2,3,2,2
1,cello-viola,0.95344843,1,4,2,2
2,cello-v1,0.947832525,1,4,2,2
3,cello-v2,0.968177293,1,4,2,2
4,viola-v1,0.913446092,1,4,2,2
5,viola-v2,0.930784182,1,4,2,2
6,v1-v2,0.929049304,1,4,2,2
1,cello-viola,0.93307453,2,5,3,2
2,cello-v1,0.912948135,2,5,3,2
3,cello-v2,0.960965766,2,5,3,2
4,viola-v1,0.939265961,2,5,3,2
5,viola-v2,0.95163407,2,5,3,2
6,v1-v2,0.967389745,2,5,3,2
1,cello-viola,0.916005648,1,6,3,2
2,cello-v1,0.9317127,1,6,3,2
3,cello-v2,0.945499362,1,6,3,2
4,viola-v1,0.941699742,1,6,3,2
5,viola-v2,0.942327652,1,6,3,2
6,v1-v2,0.942940764,1,6,3,2
1,cello-viola,0.949095161,2,7,4,2
2,cello-v1,0.940386161,2,7,4,2
3,cello-v2,0.949483605,2,7,4,2
4,viola-v1,0.945000328,2,7,4,2
5,viola-v2,0.953347914,2,7,4,2
6,v1-v2,0.952488186,2,7,4,2
1,cello-viola,0.93518861,1,8,4,2
2,cello-v1,0.940739911,1,8,4,2
3,cello-v2,0.93254057,1,8,4,2
4,viola-v1,0.950199935,1,8,4,2
5,viola-v2,0.949985801,1,8,4,2
6,v1-v2,0.917956183,1,8,4,2